Wall time,Step,Value
1733422696.0772812,108,0.026063749566674232
1733422725.9765518,173,0.023301145061850548
1733422758.703859,245,0.021015429869294167
1733422766.1241193,260,0.021745387464761734
1733422831.199972,403,0.02119682915508747
1733422859.965812,466,0.020739637315273285
1733422881.0614674,511,0.02206535078585148
1733422893.8999527,539,0.02202739380300045
1733422902.1527088,557,0.019549457356333733
1733422920.485004,597,0.02328435890376568
1733422948.9443276,659,0.02094363234937191
1733422998.1384356,765,0.019834870472550392
1733423016.3097868,805,0.020300818607211113
1733423045.1305513,867,0.020709006115794182
1733423054.1759388,887,0.020467175170779228
1733423115.8504655,1016,0.01781901903450489
1733423121.0927222,1027,0.01630028337240219
1733423126.106716,1038,0.020919108763337135
1733423166.7213604,1126,0.018358668312430382
1733423169.9720612,1133,0.018331481143832207
1733423184.8807178,1165,0.018461061641573906
1733423190.3476527,1177,0.018461884930729866
1733423241.0683095,1185,0.020700691267848015
1733423271.9961867,1253,0.018308324739336967
1733423280.5229886,1272,0.018441233783960342
1733423328.207085,1377,0.018697259947657585
1733423346.8429801,1418,0.020142171531915665
1733423365.391481,1459,0.018075576052069664
1733423381.7752788,1495,0.01941467449069023
1733423389.1152146,1511,0.020648883655667305
1733423390.455641,1514,0.018359458073973656
1733423406.2543387,1549,0.01896931789815426
1733423414.1774793,1566,0.0173778273165226
1733423461.1042862,1671,0.01899361051619053
1733423583.3068957,1941,0.01847294718027115
1733423592.3062923,1961,0.018240224570035934
1733423592.7737806,1962,0.01805192232131958
1733423772.869041,2360,0.020034508779644966
1733423853.930798,2437,0.018093664199113846
1733423856.173811,2442,0.018177201971411705
1733423865.4998584,2463,0.018277818337082863
1733423866.883876,2466,0.017259394749999046
1733423884.5744164,2504,0.01914299465715885
1733423918.487712,2578,0.0166328065097332
1733423944.81767,2636,0.017906248569488525
1733423948.2542136,2644,0.018428053706884384
1733423966.526506,2685,0.017054611817002296
1733423970.6632307,2694,0.0163265410810709
1733423977.4064505,2709,0.0201562587171793
1733423981.4888356,2718,0.01781763695180416
1733424005.2745864,2769,0.019004149362444878
1733424012.8545027,2786,0.01737554371356964
1733424039.467368,2845,0.018692605197429657
1733424098.0611234,2974,0.016605913639068604
1733424148.236892,3084,0.017615094780921936
1733424157.6241577,3105,0.01694856956601143
1733424158.0287719,3106,0.01716281659901142
1733424176.2473614,3146,0.017420072108507156
1733424208.7571774,3218,0.01600811630487442
1733424219.6734922,3242,0.017589421942830086
1733424230.8981173,3266,0.016733024269342422
1733424271.976481,3357,0.01714681088924408
1733424293.3929007,3405,0.018268169835209846
1733424336.9821548,3501,0.017626933753490448
1733424348.9038768,3527,0.01983058825135231
1733424414.158087,3567,0.0197113249450922
1733424429.8767524,3601,0.01641177199780941
1733424437.0950646,3617,0.017390437424182892
1733424454.155825,3655,0.01698981411755085
1733424460.23691,3669,0.016855565831065178
1733424461.5024958,3672,0.017832301557064056
1733424480.2561986,3713,0.018126176670193672
1733424512.2041795,3783,0.019162144511938095
1733424541.9167633,3849,0.017634598538279533
1733424572.1914313,3916,0.017758529633283615
1733424621.4662452,4024,0.016154048964381218
1733424660.1681306,4110,0.0188954696059227
1733424665.4766521,4122,0.017543207854032516
1733424692.4568734,4182,0.017943501472473145
1733424697.4315693,4193,0.018373476341366768
1733424713.135934,4228,0.016653571277856827
1733424754.629066,4319,0.017154192551970482
1733424759.1467955,4329,0.01723708026111126
1733424855.9383996,4540,0.015862517058849335
1733424867.1866207,4565,0.01751626655459404
1733424905.4628096,4650,0.01645282655954361
1733424924.1742244,4691,0.01648135669529438
1733425036.699257,4833,0.017078103497624397
1733425038.6581614,4837,0.017681613564491272
1733425059.7999873,4883,0.01820414699614048
1733425148.1978307,5080,0.018364332616329193
1733425152.2004185,5089,0.018178265541791916
1733425153.130249,5091,0.016279181465506554
1733425172.2222543,5133,0.016212506219744682
1733425174.0974586,5137,0.01604360155761242
1733425182.8367732,5156,0.01793411374092102
1733425197.4704192,5188,0.01883104257285595
1733425203.2971146,5201,0.016336578875780106
1733425214.9326718,5226,0.015735823661088943
1733425231.9214594,5263,0.016941877081990242
1733425246.7577434,5296,0.017886880785226822
1733425277.1488943,5363,0.015513903461396694
1733425296.0221941,5404,0.016233496367931366
1733425318.8662345,5455,0.017609965056180954
1733425415.54364,5668,0.017440441995859146
1733425491.6143508,5833,0.01840539276599884
1733425506.960241,5867,0.018738051876425743
1733425512.8032415,5880,0.016690386459231377
1733425594.8037875,5957,0.01703736186027527
1733425606.2837234,5982,0.01868847943842411
1733425613.550324,5998,0.016864920035004616
1733425639.594038,6054,0.01591443456709385
1733425665.567455,6112,0.01725679077208042
1733425677.5232928,6139,0.017528027296066284
1733425679.283021,6143,0.018905434757471085
1733425716.56991,6226,0.017996245995163918
1733425741.4931867,6280,0.0164890605956316
1733425765.6222134,6333,0.017623726278543472
1733425766.478417,6335,0.015103597193956375
1733425777.2482557,6359,0.016260191798210144
1733425777.6878278,6360,0.01608653925359249
1733425780.0208437,6365,0.017344405874609947
1733425782.1852677,6370,0.017282739281654358
1733425864.616243,6552,0.015800578519701958
1733425872.8233304,6570,0.016543110832571983
1733425879.857978,6586,0.016787610948085785
1733425882.1800554,6591,0.01517665758728981
1733425886.4447043,6600,0.016802707687020302
1733425946.115665,6731,0.01619618944823742
1733425955.6021934,6751,0.01721617579460144
1733425978.954712,6803,0.016202611848711967
1733426000.712006,6851,0.016788538545370102
1733426031.8338218,6920,0.020065298303961754
1733426064.5604699,6992,0.01650344766676426
1733426066.8286805,6997,0.017185555770993233
1733426067.7281053,6999,0.016414612531661987
1733426093.7063231,7055,0.015982791781425476
1733426191.2995,7165,0.01807154156267643
1733426210.924633,7208,0.0156707763671875
1733426232.4237368,7254,0.01752643473446369
1733426257.0307798,7309,0.015050029382109642
1733426277.3245854,7354,0.017733993008732796
1733426315.198982,7437,0.01796012930572033
1733426327.8608465,7465,0.017017586156725883
1733426329.6324358,7469,0.01749907247722149
